Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
seneManyTv,,,2018-11-06 13:45:14,2018-11-06 13:45:36,21.460s,PASSED
,,,,,,
Test Cases/sendTvdiscoveryMany,,,2018-11-06 13:45:15,2018-11-06 13:45:36,20.794s,PASSED
"Statement - endpoint = ""http://"" + cmndIpAddress + "":8080/SmartInstall/webservices.jsp""",,,2018-11-06 13:45:16,2018-11-06 13:45:16,0.013s,PASSED
"Statement - requestMethod = ""POST""",,,2018-11-06 13:45:16,2018-11-06 13:45:16,0.025s,PASSED
"Statement - authHeader = ""whateverYouNeedForAuthentication""",,,2018-11-06 13:45:16,2018-11-06 13:45:16,0.002s,PASSED
"Statement - header1 = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, authHeader)",,,2018-11-06 13:45:16,2018-11-06 13:45:16,0.006s,PASSED
"Statement - header2 = new com.kms.katalon.core.testobject.TestObjectProperty(Content-Type, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json)",,,2018-11-06 13:45:16,2018-11-06 13:45:16,0.002s,PASSED
"Statement - header3 = new com.kms.katalon.core.testobject.TestObjectProperty(Accept, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json)",,,2018-11-06 13:45:16,2018-11-06 13:45:16,0.004s,PASSED
"Statement - defaultHeaders = java.util.Arrays.asList(header1, header2, header3)",,,2018-11-06 13:45:16,2018-11-06 13:45:16,0.008s,PASSED
"Statement - tvResponse1 = ""{""CommandDetails"":{""TVDiscoveryParameters"":{""PowerStatus"":""On"",""TVIPAddress"":""",,,2018-11-06 13:45:16,2018-11-06 13:45:16,0.003s,PASSED
"Statement - tvResponse2 = "",""TVModelNumber"":""32HFL5011T/12"",""TVRoomID"":""",,,2018-11-06 13:45:16,2018-11-06 13:45:16,0.003s,PASSED
"Statement - tvResponse3 = "",""VSecureTVID"":""80F4F91""},""WebServiceParameters"":{""PollingFrequency"":10,""TVUniqueID"":""",,,2018-11-06 13:45:16,2018-11-06 13:45:16,0.002s,PASSED
